"questionID","type","group","questionText","answer1","answer2","image1","answer3"
"67","tekst","1","Hva er viktigst å ha på taco?","Mais","Rømme","","Ost"
"10","tekst","2","Hvem likner du mest på?","Donald Duck","Supermann","","Jack Sparrow"
"57","harDu","3","Funnet 200 kr eller mer?","","","",""
"47","harDu","1","Glemt bursdagen til moren din?","","","",""
"15","dilemma","1","","Være døv","Alltid ha hodetelefoner med musikk på ørene","",""
"42","dilemma","4","","Stryke på annenhver eksamen","Alltid tape i spill","",""
"43","dilemma","4","","Gå naken i en forelesning","Bo i telt hele semesteret","",""
"14","dilemma","1","","Trebein","Konstant ryggkløe","",""
"72","tekst","3","Kan du forskjell på høyre og venstre?","Selvfølgelig","Ja, må bare tenke meg litt om først","","Nei"
"122","hotOrNot","3","Elon Musk","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/elonmusk.jpg",""
"73","tekst","3","Jeg starter dagen med ...","Frokost","En dusj","","Å være for sent ute"
"127","hotOrNot","6","Jogging","","","https://raw.githubusercontent.com/langz/dagensbedrift/master/assets/img/jogging.jpg",""
